姓名,2015,2016,2017,2018
马云家族,1250.0,650.0,700.0,2700 亿
许家印,1900.0,1720.0,-400.0,2500 亿
马化腾,1200.0,750.0,-100.0,2400 亿
杨惠妍,1095.0,1015.0,-100.0,1500 亿
王健林家族,-800.0,-750.0,-150.0,1400 亿
何享健、何剑锋父子,700.0,520.0,150.0,1300 亿
王卫,,,-300.0,1200 亿
严昊家族,290.0,200.0,50.0,1200 亿
李彦宏、马东敏夫妇,300.0,170.0,-100.0,1150 亿
雷军,180.0,450.0,420.0,1100 亿
王文银家族,,,,1100 亿
姚振华,875.0,-150.0,50.0,1000 亿
黄峥,,,,950 亿
张近东,140.0,170.0,20.0,950 亿
张志东,555.0,390.0,-50.0,950 亿
丁磊,390.0,-100.0,-200.0,900 亿
李书福家族,,,,900 亿
宗庆后家族,-450.0,-220.0,-100.0,900 亿
许荣茂家族,500.0,350.0,305.0,850 亿
孙飘扬、钟慧娟夫妇,595.0,380.0,235.0,825 亿
卢志强家族,-30.0,-50.0,-60.0,800 亿
陈建华、范红卫夫妇,490.0,500.0,325.0,790 亿
严彬,130.0,0.0,30.0,780 亿
刘强东,305.0,295.0,50.0,750 亿
林立,525.0,470.0,320.0,670 亿
许世辉家族,535.0,200.0,90.0,650 亿
张士平家族,165.0,40.0,-5.0,650 亿
张一鸣,,,360.0,650 亿
刘永行家族,210.0,160.0,60.0,630 亿
王玉锁、赵宝菊夫妇,320.0,250.0,80.0,620 亿
龚虹嘉、陈春梅夫妇,270.0,230.0,-60.0,590 亿
王清涛,490.0,375.0,15.0,590 亿
吴亚军家族,315.0,255.0,15.0,585 亿
张勇、舒萍夫妇,,509.0,500.0,550 亿
郭广昌,20.0,75.0,-105.0,520 亿
庞康,255.0,265.0,195.0,520 亿
陈丽华,10.0,0.0,0.0,505 亿
陈东升家族,435.0,240.0,50.0,500 亿
马建荣家族,280.0,245.0,185.0,500 亿
沈国军家族,,310.0,,490 亿
王文学,10.0,5.0,-85.0,490 亿
阎志,340.0,170.0,90.0,475 亿
孙广信,10.0,120.0,40.0,460 亿
孙宏斌,360.0,365.0,-260.0,460 亿
谢炳、郑翔玲夫妇,295.0,295.0,265.0,455 亿
方威,90.0,150.0,-35.0,450 亿
鲁伟鼎家族,,,,450 亿
汪滔,230.0,210.0,90.0,450 亿
周建平家族,-30.0,75.0,30.0,430 亿
潘政民、吴春媛夫妇,220.0,55.0,-120.0,420 亿
周鸿祎,320.0,240.0,220.0,420 亿
马兴田家族,100.0,80.0,5.0,410 亿
曾毓群,,,,400 亿
蒋仁生家族,250.0,230.0,160.0,400 亿
李水荣,210.0,175.0,160.0,400 亿
史玉柱、史静父女,,,,400 亿
周群飞、郑俊龙夫妇,-105.0,-65.0,-320.0,395 亿
江南春,240.0,40.0,90.0,390 亿
王兴,330.0,230.0,125.0,390 亿
朱保国家族,240.0,270.0,200.0,390 亿
车建兴,85.0,,,385 亿
刘永好家族,-70.0,-45.0,-45.0,380 亿
张劲,280.0,150.0,80.0,380 亿
徐镜人,195.0,90.0,30.0,380 亿
陈邦,195.0,175.0,185.0,365 亿
纪海鹏家族,245.0,230.0,70.0,365 亿
张茵家族,,55.0,-85.0,365 亿
林斌,,,,360 亿
张邦鑫,295.0,230.0,-40.0,360 亿
秦英林、钱瑛夫妇,150.0,170.0,100.0,355 亿
蔡奎家族,175.0,130.0,10.0,350 亿
李华家族,210.0,160.0,100.0,350 亿
刘益谦家族,,5.0,-80.0,350 亿
童锦泉,265.0,250.0,200.0,350 亿
胡凯军,245.0,225.0,190.0,350 亿
聂腾云、陈立英夫妇,,195.0,-30.0,340 亿
张宏伟,170.0,190.0,145.0,340 亿
张峻、陶美萦夫妇,,,,340 亿
林秀成、林志强父子,-10.0,90.0,-15.0,330 亿
欧宗荣,125.0,110.0,60.0,330 亿
于泳,0.0,105.0,-20.0,330 亿
陈红天家族,,,,320 亿
陈天桥、雒芊芊夫妇,130.0,90.0,50.0,320 亿
冯海良,85.0,105.0,100.0,320 亿
傅军,90.0,120.0,55.0,320 亿
吕向阳、张长虹夫妇,-25.0,-40.0,-10.0,320 亿
徐航,256.0,250.0,190.0,320 亿
赵涛家族,,,,320 亿
季昌群,,,40.0,300 亿
李河君,-330.0,-100.0,-100.0,300 亿
李金元,-80.0,-100.0,-105.0,300 亿
孙喜双,40.0,-5.0,20.0,300 亿
魏建军、韩雪娟夫妇,-90.0,-95.0,-90.0,300 亿
朱鼎健家族,,,,300 亿
宋作文家族,135.0,15.0,0.0,295 亿
熊续强,50.0,45.0,-55.0,295 亿
姚良松,,,5.0,295 亿
詹克团,,,,295 亿
陈发树,15.0,55.0,-25.0,290 亿
缪寿良,80.0,60.0,25.0,290 亿
王传福,-85.0,-65.0,-10.0,290 亿
杨剑,,,90.0,290 亿
朱孟依家族,-10.0,10.0,-30.0,290 亿
陈金霞,90.0,100.0,20.0,290 亿
张刚家族,,,25.0,285 亿
黄炽恒,,10.0,0.0,140 亿
孙寿宽家族,90.0,100.0,45.0,280 亿
赖梅松,225.0,215.0,80.0,275 亿
李文斌家族,160.0,135.0,125.0,275 亿
黄其森家族,,95.0,-5.0,270 亿
解直锟家族,120.0,90.0,,270 亿
梁稳根,-110.0,-50.0,15.0,270 亿
刘汉元、管亚梅夫妇,105.0,85.0,-10.0,270 亿
曹龙祥家族,110.0,,20.0,270 亿
崔根良、崔巍父子,110.0,95.0,35.0,260 亿
杜厦家族,75.0,55.0,20.0,260 亿
黄如论家族,,,,260 亿
邱光和家族,-15.0,0.0,80.0,260 亿
沈南鹏,135.0,110.0,80.0,260 亿
施永宏、李海燕夫妇,,,,260 亿
罗立国家族,,,,255 亿
王文京,-10.0,70.0,70.0,250 亿
肖建华家族,,,,250 亿
叶澄海、廖清清夫妇,10.0,25.0,-5.0,250 亿
李宗松、谷晓嘉夫妇,,100.0,30.0,245 亿
黄凯,,,,240 亿
李兆廷,180.0,70.0,-40.0,240 亿
潘石屹、张欣夫妇,45.0,20.0,-10.0,240 亿
王文彪,5.0,50.0,-5.0,240 亿
喻会蛟、张小娟夫妇,80.0,100.0,-75.0,240 亿
黄伟、李萍夫妇,-135.0,-55.0,-50.0,235 亿
姜照柏,-5.0,-35.0,-30.0,235 亿
梁庆德,45.0,0.0,-5.0,230 亿
王振华、王晓松父子,188.0,163.0,100.0,230 亿
张力、张量父子,110.0,65.0,15.0,230 亿
陈华,125.0,85.0,55.0,225 亿
沈文荣,5.0,15.0,-25.0,225 亿
朱林瑶,80.0,70.0,5.0,225 亿
何巧女、唐凯夫妇,-10.0,25.0,-45.0,220 亿
黄楚龙,120.0,95.0,50.0,220 亿
黄光裕家族,0.0,10.0,-20.0,220 亿
黄文仔,85.0,70.0,20.0,220 亿
李丐腾家族,,0.0,-25.0,220 亿
魏少军家族,-60.0,0.0,10.0,220 亿
周晓光、虞云新夫妇,-40.0,-80.0,-110.0,220 亿
丁世忠,103.0,99.0,50.0,215 亿
钭正刚、尉雪凤夫妇,,25.0,20.0,215 亿
耿建明、杨小青夫妇,-60.0,-30.0,-50.0,215 亿
李仲初家族,-65.0,45.0,60.0,215 亿
周泽荣,75.0,60.0,15.0,215 亿
柯尊洪家族,0.0,-10.0,-20.0,210 亿
吴光明、吴群父子,60.0,75.0,-15.0,210 亿
李革、赵宁夫妇,,,85.0,210 亿
池宇峰,,-60.0,-40.0,205 亿
丁世家,97.0,90.0,45.0,205 亿
梁信军,15.0,30.0,-35.0,205 亿
王来春,85.0,95.0,20.0,205 亿
王来胜,85.0,95.0,20.0,205 亿
王长田、杜英莲夫妇,-30.0,25.0,50.0,205 亿
赵伟国,,25.0,40.0,205 亿
闫希军家族,110.0,45.0,-5.0,205 亿
李义海、李鑫父子,,,10.0,205 亿
卜扬,75.0,95.0,30.0,200 亿
傅利泉、陈爱玲夫妇,-15.0,-10.0,-140.0,200 亿
黄茂如、张静夫妇,30.0,-25.0,-30.0,200 亿
林宏修家族,,,,200 亿
其实家族,-90.0,-35.0,25.0,200 亿
张磊,30.0,-20.0,30.0,200 亿
李锂、李坦夫妇,20.0,15.0,-20.0,200 亿
修涞贵、李艳华夫妇,65.0,25.0,10.0,200 亿
马秀慧家族,,,,195 亿
